,country,week,count
871,Paraguay,8,0
872,Peru,8,0
873,Philippines,8,1
874,Poland,8,0
875,Portugal,8,0
876,Qatar,8,0
877,Romania,8,0
878,Russia,8,0
879,Rwanda,8,0
880,Saint Kitts and Nevis,8,0
881,Saint Lucia,8,0
882,Saint Vincent and the Grenadines,8,0
883,San Marino,8,0
884,Sao Tome and Principe,8,0
885,Saudi Arabia,8,0
886,Senegal,8,0
887,Serbia,8,0
888,Seychelles,8,0
889,Sierra Leone,8,0
890,Singapore,8,0
891,Slovakia,8,0
892,Slovenia,8,0
893,Somalia,8,0
894,South Africa,8,0
895,South Sudan,8,0
896,Spain,8,0
897,Sri Lanka,8,0
898,Sudan,8,0
899,Suriname,8,0
900,Sweden,8,0
901,Switzerland,8,0
902,Syria,8,0
903,Taiwan*,8,1
904,Tanzania,8,0
905,Thailand,8,0
906,Timor-Leste,8,0
907,Togo,8,0
908,Trinidad and Tobago,8,0
909,Tunisia,8,0
910,Turkey,8,0
911,US,8,0
912,Uganda,8,0
913,Ukraine,8,0
914,United Arab Emirates,8,0
915,United Kingdom,8,0
916,Uruguay,8,0
917,Uzbekistan,8,0
918,Venezuela,8,0
919,Vietnam,8,0
920,West Bank and Gaza,8,0
921,Western Sahara,8,0
922,Yemen,8,0
923,Zambia,8,0
924,Zimbabwe,8,0
925,Afghanistan,9,0
926,Albania,9,0
927,Algeria,9,0
928,Andorra,9,0
929,Angola,9,0
930,Antigua and Barbuda,9,0
931,Argentina,9,0
932,Armenia,9,0
933,Australia,9,1
934,Austria,9,0
935,Azerbaijan,9,0
936,Bahamas,9,0
937,Bahrain,9,0
938,Bangladesh,9,0
939,Barbados,9,0
940,Belarus,9,0
941,Belgium,9,0
942,Belize,9,0
943,Benin,9,0
944,Bhutan,9,0
945,Bolivia,9,0
946,Bosnia and Herzegovina,9,0
947,Botswana,9,0
948,Brazil,9,0
949,Brunei,9,0
950,Bulgaria,9,0
951,Burkina Faso,9,0
952,Burma,9,0
953,Burundi,9,0
954,Cabo Verde,9,0
955,Cambodia,9,0
956,Cameroon,9,0
957,Canada,9,0
958,Central African Republic,9,0
959,Chad,9,0
960,Chile,9,0
961,China,9,2872
962,Colombia,9,0
963,Congo (Brazzaville),9,0
964,Congo (Kinshasa),9,0
965,Costa Rica,9,0
966,Cote d'Ivoire,9,0
967,Croatia,9,0
968,Cuba,9,0
969,Cyprus,9,0
970,Czechia,9,0
971,Denmark,9,0
972,Diamond Princess,9,6
973,Djibouti,9,0
974,Dominica,9,0
975,Dominican Republic,9,0
976,Ecuador,9,0
977,Egypt,9,0
978,El Salvador,9,0
979,Equatorial Guinea,9,0
980,Eritrea,9,0
981,Estonia,9,0
982,Eswatini,9,0
983,Ethiopia,9,0
984,Fiji,9,0
985,Finland,9,0
986,France,9,2
987,Gabon,9,0
988,Gambia,9,0
989,Georgia,9,0
990,Germany,9,0
991,Ghana,9,0
992,Greece,9,0
993,Grenada,9,0
994,Guatemala,9,0
995,Guinea,9,0
996,Guinea-Bissau,9,0
997,Guyana,9,0
998,Haiti,9,0
999,Holy See,9,0
1000,Honduras,9,0
1001,Hungary,9,0
1002,Iceland,9,0
1003,India,9,0
1004,Indonesia,9,0
1005,Iran,9,54
1006,Iraq,9,0
1007,Ireland,9,0
1008,Israel,9,0
1009,Italy,9,34
1010,Jamaica,9,0
1011,Japan,9,6
1012,Jordan,9,0
1013,Kazakhstan,9,0
1014,Kenya,9,0
1015,"Korea, South",9,17
1016,Kosovo,9,0
1017,Kuwait,9,0
1018,Kyrgyzstan,9,0
1019,Laos,9,0
1020,Latvia,9,0
1021,Lebanon,9,0
1022,Liberia,9,0
1023,Libya,9,0
1024,Liechtenstein,9,0
1025,Lithuania,9,0
1026,Luxembourg,9,0
1027,MS Zaandam,9,0
1028,Madagascar,9,0
1029,Malawi,9,0
1030,Malaysia,9,0
1031,Maldives,9,0
1032,Mali,9,0
1033,Malta,9,0
1034,Mauritania,9,0
1035,Mauritius,9,0
1036,Mexico,9,0
1037,Moldova,9,0
1038,Monaco,9,0
1039,Mongolia,9,0
1040,Montenegro,9,0
1041,Morocco,9,0
1042,Mozambique,9,0
1043,Namibia,9,0
1044,Nepal,9,0
1045,Netherlands,9,0
1046,New Zealand,9,0
1047,Nicaragua,9,0
1048,Niger,9,0
1049,Nigeria,9,0
1050,North Macedonia,9,0
1051,Norway,9,0
1052,Oman,9,0
1053,Pakistan,9,0
1054,Panama,9,0
1055,Papua New Guinea,9,0
1056,Paraguay,9,0
1057,Peru,9,0
1058,Philippines,9,1
1059,Poland,9,0
1060,Portugal,9,0
1061,Qatar,9,0
1062,Romania,9,0
1063,Russia,9,0
1064,Rwanda,9,0
1065,Saint Kitts and Nevis,9,0
1066,Saint Lucia,9,0
1067,Saint Vincent and the Grenadines,9,0
1068,San Marino,9,0
1069,Sao Tome and Principe,9,0
1070,Saudi Arabia,9,0
1071,Senegal,9,0
1072,Serbia,9,0
1073,Seychelles,9,0
1074,Sierra Leone,9,0
1075,Singapore,9,0
1076,Slovakia,9,0
1077,Slovenia,9,0
1078,Somalia,9,0
1079,South Africa,9,0
1080,South Sudan,9,0
1081,Spain,9,0
1082,Sri Lanka,9,0
1083,Sudan,9,0
1084,Suriname,9,0
1085,Sweden,9,0
1086,Switzerland,9,0
1087,Syria,9,0
1088,Taiwan*,9,1
1089,Tanzania,9,0
1090,Thailand,9,1
1091,Timor-Leste,9,0
1092,Togo,9,0
1093,Trinidad and Tobago,9,0
1094,Tunisia,9,0
1095,Turkey,9,0
1096,US,9,1
1097,Uganda,9,0
1098,Ukraine,9,0
1099,United Arab Emirates,9,0
1100,United Kingdom,9,0
1101,Uruguay,9,0
1102,Uzbekistan,9,0
1103,Venezuela,9,0
1104,Vietnam,9,0
1105,West Bank and Gaza,9,0
1106,Western Sahara,9,0
1107,Yemen,9,0
1108,Zambia,9,0
1109,Zimbabwe,9,0
1110,Afghanistan,10,0
1111,Albania,10,0
1112,Algeria,10,0
1113,Andorra,10,0
1114,Angola,10,0
1115,Antigua and Barbuda,10,0
1116,Argentina,10,1
1117,Armenia,10,0
1118,Australia,10,3
1119,Austria,10,0
1120,Azerbaijan,10,0
1121,Bahamas,10,0
1122,Bahrain,10,0
1123,Bangladesh,10,0
